name,collection,severity,polygons,vertices,dimensions,location,material_count,materials,issues,recommendation
node_0.086,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"17.749, -6.578, -0.07",1,Material.100,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.087,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"17.026, -8.031, -0.028",1,Material.101,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.088,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"15.752, -9.067, -0.003",1,Material.102,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.089,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-13.806, -8.944, 0.002",1,Material.103,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.090,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"-11.903, -10.32, -0.012",1,Material.104,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.091,Scene Collection,2,20943,12191,1.996 x 0.937 x 0.306,"-9.968, -11.697, 0.002",1,Material.105,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.092,Scene Collection,2,20943,12191,1.996 x 0.937 x 0.307,"-8.387, -13.568, 0.107",1,Material.106,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.094,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"13.743, -10.205, -0.129",1,Material.108,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.095,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"12.442, -10.013, -0.006",1,Material.109,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.096,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"9.728, -10.109, -0.036",1,Material.110,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.097,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"7.357, -11.331, 0.002",1,Material.111,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.098,Scene Collection,2,20943,12191,1.994 x 0.941 x 0.312,"5.306, -12.943, 0.027",1,Material.112,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.099,Scene Collection,2,20943,12191,1.996 x 0.937 x 0.307,"-7.904, -14.08, 0.068",1,Material.113,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.102,Scene Collection,2,15301,10413,1.077 x 0.896 x 1.064,"12.06, 7.044, 0.302",1,Material.116,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.103,Scene Collection,2,15301,10413,1.077 x 0.896 x 1.064,"18.427, 0.002, -0.166",1,Material.117,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.104,Scene Collection,2,20228,13563,1.194 x 1.72 x 0.915,"17.078, 0.405, -0.151",1,Material.118,auto_import_name;high_poly_gt_10k;nonzero_rotation_transform;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.105,Scene Collection,2,15599,9593,2.498 x 2.069 x 1.001,"14.012, -9.699, -0.014",1,Material.119,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.106,Scene Collection,1,2416,5113,3.724 x 2.278 x 1.221,"16.242, -8.655, -0.024",1,Material.120,auto_import_name;medium_poly_gt_2k;nonzero_rotation_transform;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.107,Scene Collection,1,8798,4995,0.729 x 1.062 x 0.718,"14.058, -9.64, -0.034",1,Material.121,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.108,Scene Collection,2,19553,11595,5.236 x 3.451 x 1.545,"13.95, -7.289, -0.057",1,Material.123,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.109,Scene Collection,2,15599,9593,3.33 x 2.759 x 1.335,"18.275, -1.514, -0.024",1,Material.124,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.110,Scene Collection,1,8798,4995,1.457 x 2.125 x 1.435,"20.683, -4.531, -0.034",1,Material.125,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.111,Scene Collection,1,8798,4995,0.729 x 1.062 x 0.718,"18.991, -3.502, -0.034",1,Material.126,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.112,Scene Collection,2,15599,9593,3.33 x 2.759 x 1.335,"18.275, -6.605, -0.024",1,Material.127,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.113,Scene Collection,2,15599,9593,2.498 x 2.069 x 1.001,"16.646, 1.235, -0.18",1,Material.128,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.114,Scene Collection,2,21962,12525,3.042 x 2.262 x 0.966,"10.529, -8.881, -0.038",1,Material.129,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.115,Scene Collection,2,19553,11595,5.237 x 3.81 x 1.544,"11.074, 8.261, -0.044",1,Material.130,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.116,Scene Collection,1,2416,5113,3.724 x 2.161 x 1.221,"6.132, 13.96, -0.024",1,Material.131,auto_import_name;medium_poly_gt_2k;nonzero_rotation_transform;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.118,Scene Collection,2,15599,9593,2.498 x 1.573 x 1.001,"11.125, 11.514, -0.054",1,Material.146,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.119,Scene Collection,2,11408,6806,0.71 x 1.374 x 0.695,"10.029, 12.778, 0.152",1,Material.134,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.120,Scene Collection,2,19553,11595,5.237 x 3.644 x 1.544,"3.306, 13.033, -0.044",1,Material.135,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.121,Scene Collection,1,8798,4995,1.457 x 2.125 x 1.436,"8.81, 12.036, -0.034",1,Material.136,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.122,Scene Collection,2,21962,12525,2.536 x 1.886 x 0.806,"7.741, 11.808, -0.038",1,Material.137,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.123,Scene Collection,2,15599,9593,3.33 x 2.759 x 1.329,"3.133, 15.045, -0.024",1,Material.138,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.124,Scene Collection,1,8798,4995,0.729 x 1.062 x 0.718,"4.923, 14.791, -0.034",1,Material.139,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
node_0.125,Scene Collection,2,15301,10413,1.077 x 0.901 x 1.064,"-3.443, 15.073, -0.102",1,Material.140,auto_import_name;high_poly_gt_10k;non_applied_scale,decimate_or_replace_for_mobile;rename_semantically;apply_transforms_before_export
node_0.127,Scene Collection,1,9023,6177,0.52 x 2.223 x 0.528,"-7.082, 1.83, 0.304",1,Material.142,auto_import_name;medium_poly_gt_2k;non_applied_scale,rename_semantically;apply_transforms_before_export
